2025-02-17 06:47:54, CPU: 18.2%, Memory: 33.44%
2025-02-17 06:47:59, CPU: 0%, Memory: 33.44%
2025-02-17 06:48:04, CPU: 0%, Memory: 32.60%
2025-02-17 06:48:09, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:48:15, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:48:20, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:48:25, CPU: 0%, Memory: 31.87%
2025-02-17 06:48:30, CPU: 9.1%, Memory: 31.97%
2025-02-17 06:48:36, CPU: 0%, Memory: 31.97%
2025-02-17 06:48:41, CPU: 0%, Memory: 31.97%
2025-02-17 06:48:46, CPU: 0%, Memory: 31.97%
2025-02-17 06:48:51, CPU: 9.1%, Memory: 31.97%
2025-02-17 06:48:56, CPU: 0%, Memory: 31.45%
2025-02-17 06:49:02, CPU: 9.1%, Memory: 31.45%
2025-02-17 06:49:07, CPU: 0%, Memory: 31.45%
2025-02-17 06:49:12, CPU: 9.1%, Memory: 31.45%
2025-02-17 06:49:17, CPU: 0%, Memory: 32.29%
2025-02-17 06:49:23, CPU: 10%, Memory: 32.29%
2025-02-17 06:49:28, CPU: 0%, Memory: 32.29%
2025-02-17 06:49:33, CPU: 0%, Memory: 32.29%
2025-02-17 06:49:38, CPU: 0%, Memory: 32.29%
2025-02-17 06:49:43, CPU: 9.1%, Memory: 32.29%
2025-02-17 06:49:49, CPU: 0%, Memory: 32.29%
2025-02-17 06:49:54, CPU: 9.1%, Memory: 32.29%
2025-02-17 06:49:59, CPU: 0%, Memory: 32.29%
2025-02-17 06:50:04, CPU: 0%, Memory: 32.29%
2025-02-17 06:50:10, CPU: 9.1%, Memory: 32.29%
2025-02-17 06:50:15, CPU: 9.1%, Memory: 31.66%
2025-02-17 06:50:20, CPU: 16.6%, Memory: 31.87%
2025-02-17 06:50:25, CPU: 0%, Memory: 31.56%
2025-02-17 06:50:31, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:50:36, CPU: 16.6%, Memory: 31.87%
2025-02-17 06:50:41, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:50:46, CPU: 0%, Memory: 31.87%
2025-02-17 06:50:51, CPU: 0%, Memory: 31.87%
2025-02-17 06:50:57, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:51:02, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:07, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:12, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:18, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:23, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:28, CPU: 0%, Memory: 31.87%
2025-02-17 06:51:33, CPU: 0%, Memory: 31.56%
2025-02-17 06:51:38, CPU: 0%, Memory: 31.77%
2025-02-17 06:51:44, CPU: 9.1%, Memory: 31.77%
2025-02-17 06:51:49, CPU: 9.1%, Memory: 31.56%
2025-02-17 06:51:54, CPU: 0%, Memory: 31.77%
2025-02-17 06:51:59, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:52:05, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:52:10, CPU: 0%, Memory: 31.87%
2025-02-17 06:52:15, CPU: 0%, Memory: 31.87%
2025-02-17 06:52:20, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:52:25, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:52:31, CPU: 0%, Memory: 31.87%
2025-02-17 06:52:36, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:52:41, CPU: 0%, Memory: 31.45%
2025-02-17 06:52:46, CPU: 0%, Memory: 31.87%
2025-02-17 06:52:52, CPU: 0%, Memory: 31.87%
2025-02-17 06:52:57, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:53:02, CPU: 9.1%, Memory: 31.87%
2025-02-17 06:53:07, CPU: 0%, Memory: 31.87%
2025-02-17 06:53:12, CPU: 0%, Memory: 31.87%
2025-02-17 06:53:18, CPU: 9.1%, Memory: 31.87%
